lemma	part_of_speech	translations
деодорант	noun	deodorant|deodorizer
деонтический	adjective	deontic
деонтология	noun	deontology
депигментация	noun	depigmentation
депиляция	noun	depilation|epilation
деплатформинг	noun	deplatform
депозит	noun	a deposit
депозиция	noun	deposition
деполимеризация	noun	depolymerization
деполитизация	noun	depoliticization
деполитизировать	verb	depoliticize|depoliticise
деполяризатор	noun	depolarizer
депонирование	noun	deposition
депонировать	verb	deposit
депопуляционный	adjective	depopulational|depopulative
депопуляция	noun	depopulation
депортация	noun	deportation
депортировать	verb	deport
деправация	noun	depravation
депрессивно	adverb	depressively
депрессивный	adjective	depressive
депрессия	noun	depression
деприватизация	noun	deprivatisation|renationalization
депривация	noun	deprivation
деприоритизация	noun	deprioritization
депутат	noun	deputy|delegate
депутатский	adjective	deputy
дератизация	noun	deratization
дербенник	noun	loosestrife
дерби	noun	Derby shoe
дербник	noun	Merlin|pigeon hawk
дервиш	noun	dervish
дергота	noun	twitching
деревенеть	verb	grow numb|lignify|stiffen
деревенский	adjective	rural|country|village
деревенщина	noun	bumpkin|hick|redneck|yokel
деревня	noun	village|country
дерево	noun	tree|wood
деревообделочник	noun	joiner|woodworker
деревообделочный	adjective	woodworking
деревообрабатывающий	adjective	wood-working|woodworking
деревообработка	noun	woodwork|woodworking
деревцо	noun	sapling
деревянистый	adjective	ligneous|woody
деревянный	adjective	wooden|expressionless|dull
деревяшка	noun	piece of wood
дерегуляция	noun	deregulation
держава	noun	empire|realm|globus cruciger
державец	noun	lord
державка	noun	cutter shank|tool holder|tool shank
держание	noun	holding|keeping
держаный	adjective	second-hand|used
держатель	noun	holder
держать	verb	hold|keep
держаться	verb	cling|hold|hold on|keep|stay|hold one's ground
дерзать	verb	dare
дерзить	verb	answer back
дерзкий	adjective	audacious|bold|daring|intrepid|impudent|insolent
дерзко	adverb	defiantly|disrespectfully
дерзнуть	verb	dare|decide|venture
дерзостный	adjective	insolent|impertinent|impudent
дерзость	noun	cheek|impertinence|impudence|insolence|rudeness|audacity
дериватив	noun	derivative
дерма	noun	dermis|skin
дерматоген	noun	dermatogen
дерматозооноз	noun	dermatozoonosis
дерматолог	noun	dermatologist|skin specialist
дерматология	noun	dermatology|dermology
дерматомания	noun	dermatomania
дерматосома	noun	dermatosome
дерморфин	noun	dermorphin
дерновать	verb	sod|sward|turf
деррик	noun	derrick
деррик-кран	noun	derrick crane
дерьмо	noun	shit|crap
дерьмовый	adjective	crappy|lousy|shitty
дерюга	noun	sackcloth|sacking
десант	noun	landing force|landing party
десантирование	noun	landing
десантировать	verb	land
десантник	noun	paratrooper
десантный	adjective	landing
десатурация	noun	desaturation|prebreathing
десегментация	noun	desectorizing|desegmentation
десегрегация	noun	desegregation
десерт	noun	dessert|sweet
десикация	noun	dessication
десисоп	noun	desysop
дескать		like|переводится тж. личными формами гл. say
дескриптивизм	noun	descriptivism
дескриптивный	adjective	descriptive
дескрипция	noun	description
десмолиз	noun	desmolysis
десмолитический	adjective	desmolytic
десмопатия	noun	desmopathy
десмосома	noun	desmosome|bridge corpuscle
десмотомия	noun	desmotomy
десмургия	noun	desmurgy
десна	noun	gum|gingiva
десольватация	noun	desolvation
десорбция	noun	desorption
деспот	noun	despot|tyrant
деспотизм	noun	despotism
деспотический	adjective	despotic
деспотия	noun	despotism
деспужолсит	noun	Despujolsite
дестабилизация	noun	destabilization|destabilisation
дестабилизировать	verb	destabilize
десталинизация	noun	de-Stalinization|destalinization
деструктивность	noun	destructiveness
деструктивный	adjective	destructive
деструкция	noun	destruction|degradation
десть	noun	quire
десуффляция	noun	desufflation
десятеро		ten
десятибалльный	adjective	ten-point
десятиборец	noun	decathlete|decathloner|decathlonist
десятиборье	noun	decathlon
десятигранник	noun	decahedron
десятикомнатный	adjective	ten-roomed
десятикратно	adverb	tenfold
десятилетие	noun	decade|decennary
десятилетний	adjective	decennial|ten-year|ten-year-old
десятимесячный	adjective	ten-month
десятипроцентный	adjective	ten percent
десятисложный	adjective	decasyllabic|ten-syllable
десятиструнный	adjective	ten-string
десятитысячеугольник	noun	myriagon
десятиугольник	noun	decagon
десятиугольный	adjective	decagonal
десятицентовик	noun	dime
десятка	noun	group of ten|ten|tens
десяток	noun	ten|decade|ten's place|tens
десятый	adjective	tenth
десять		ten
детализация	noun	detailing
деталь	noun	detail|part|component|nicety|мн. ч. minutiae
детально	adverb	in detail|minutely
детальный	adjective	detailed|minute
детдом	noun	children's home
детезаврация	noun	dehoarding
детектив	noun	detective|detective story|whodunit|crime novel
детектирование	noun	detection
детектировать	verb	rectify|detect
детергент	noun	detergent
детерминант	noun	determinant
детерминантный	adjective	determinantal
детерминатив	noun	determinative|determiner
детерминация	noun	determination
детерминизм	noun	determinism
детерминированный		determinate|deterministic
детерминировать	verb	determine
детерминист	noun	determinist
детерминистический	adjective	deterministic
детерминистский	adjective	deterministic
детерминологизация	noun	determinologization
детина	noun	big fellow|buster|strapper
детоксикант	noun	detoxicant|detoxicator|detoxifier|disintoxicant
детоксикация	noun	detoxification|detoxication
детонатор	noun	detonator
детонационный	adjective	detonating
детонация	noun	detonation
детородный	adjective	genital|copulative
деторождение	noun	procreation|childbearing|child-bearing
детоубийство	noun	infanticide
детоубийца	noun	infanticide|filicide
детренированность	noun	deconditioning|detraining
детская	noun	nursery
детский	adjective	childish|child's|children's
детство	noun	childhood
деть	verb	leave|place|put
детёныш	noun	baby|calf|cub|whelp
деукраинизация	noun	deukrainisation
дефекация	noun	defecation|dejection
дефект	noun	defect
дефективность	noun	defectiveness
дефективный	adjective	defective
дефектный	adjective	defective|vicious
дефектолог	noun	speech pathologist
дефектология	noun	defectology
дефектоскоп	noun	defectoscope|fault finder|fault indicator|flaw detector
деферент	noun	deferent
деферризация	noun	deferrization
дефетизм	noun	defeatism
дефибриллятор	noun	defibrillator
дефибрилляция	noun	defibrillation
дефиле	noun	defile|fashion parade|defiling|marching|parade
дефилировать	verb	defile|march past
дефиниция	noun	definition
дефис	noun	hyphen|intra-word dash
дефицит	noun	deficiency|deficit|shortage|hard-to-get thing
дефлегматор	noun	dephlegmator|reflux condenser|refluxer
дефлегмация	noun	dephlegmation|refluxing
дефлорация	noun	defloration
дефлорировать	verb	deflower
дефляция	noun	deflation
дефокусирование	noun	defocusing
деформационный	adjective	deformative
деформация	noun	deformation|deformity
деформировать	verb	deform
деформироваться	verb	be deformed
дефосфорация	noun	dephosphorization|phosphorus removal
дефосфоризация	noun	dephosphorization|phosphorus removal
дефрагментация	noun	defragmentation
дефрагментирование	noun	defragmentation
дефрагментировать	verb	defragment
дефразеологизация	noun	dephraseologisation
дехканин	noun	peasant
дехлорировать	verb	dechlorinate
дехристианизация	noun	dechristianization
децемвират	noun	decemvirate
децентрализация	noun	decentralization
децентрализованный		decentralized
децибел	noun	decibel
децидофобия	noun	decidophobia
децилитр	noun	decilitre|deciliter
дециллион	noun	decillion
децимет	noun	decet
дециметровый	adjective	decimeter|decimetre
дешеветь	verb	become cheaper|fall in price
дешифрация	noun	decoding
дешифрирование	noun	decoding|deciphering|decryption
дешифрировать	verb	decipher|decode|decrypt
дешифровать	verb	decipher
дешифровщик	noun	decipherer|decoder
дешманский	adjective	cheapo|chintz|ghetto
дешёвый	adjective	cheap|inexpensive
деэмульгатор	noun	de-emulsifier|demulsificator|demulsifier|demulsifying agent
деэскалация	noun	de-escalation
деэтимологизация	noun	de-etymologization
деяние	noun	act|action|deed|exploit
деятельно	adverb	actively
деятельность	noun	activity
деятельный	adjective	active|energetic
джаз	noun	jazz
джаз-банд	noun	jazz band
джазовый	adjective	jazzy
джакузи	noun	Jacuzzi|hot whirlpool|spa
джалло	noun	giallo
джамбалайя	noun	jambalaya
джампер	noun	jumper
джедай	noun	Jedi
джезва	noun	ibrik|jezve|cesve
джекпот	noun	jackpot
джем	noun	jam
дженерик	noun	generic
джентри	noun	gentry
джентрификация	noun	gentrification
джерки	noun	jerky
джерримендеринг	noun	gerrymandering
джерси	noun	jersey
джетлаг	noun	jet lag
джибутиец	noun	Djiboutian
джибутийка	noun	Djiboutian
джигит	noun	djigit|dzhigit|jigit
джингоист	noun	jingoist
джингулу	noun	Jingulu
джинн	noun	genie|jinnee
джинса	noun	denim
джип	noun	jeep|SUV|field car|off-road vehicle|sport utility vehicle
джип-триал	noun	jeep trial|jeeptrial
джихад	noun	jihad
джокер	noun	joker|wild card
джонка	noun	junk
джун	noun	junior software developer
джунгли	noun	jungle
джуниор	noun	junior software developer
джут	noun	jute
дзайбацу	noun	zaibatsu
дзельква	noun	zelkova
дзен	noun	Zen
дзета	noun	zeta
дзонг-кэ	noun	Dzongkha
дзэн-буддист	noun	Zen Buddhist
дзюдо	noun	judo
дзюдоги	noun	judogi
дзюдоист	noun	judoka
дзюдоистка	noun	judoist
диабет	noun	a diabetes|diabetes
диабетический	adjective	diabetic
диавол	noun	devil
диагноз	noun	diagnosis
диагност	noun	diagnostician
диагностика	noun	diagnostics
диагностический	adjective	diagnostic|diagnostical
диагональ	noun	diagonal
диаграмма	noun	diagram|chart
диаграфия	noun	diagraphy
диада	noun	dyad
диазобензол	noun	diazobenzene
диазокопия	noun	diazo duplicate|diazo print
диакон	noun	deacon
диакониса	noun	deaconess
диаконисса	noun	deaconess
диаконский	adjective	deacon|deacon’s
диакритика	noun	accent
диалект	noun	dialect
диалектика	noun	dialectics|dialectic
диалектность	noun	dialectality
диалектный	adjective	dialectal|dialect
диалектология	noun	dialectology
диализ	noun	dialysis
диализатор	noun	dialyzator|dialyzer
диализировать	verb	dialyze
диалог	noun	dialogue|dialog
диалогичный	adjective	dialogic
диамагнетик	noun	diamagnetic|diamagnet
диаметр	noun	diameter
диаметрально	adverb	diametrically
диаметральный	adjective	diametral|diametrical
дианетика	noun	dianetics
диапозитив	noun	diapositive
диарея	noun	diarrhea|diarrhoea
диаризация	noun	diarisation
диаскопия	noun	diascopy
диаспора	noun	diaspora
диастиль	noun	diastyle
диастолический	adjective	diastolic
диатез	noun	diathesis
диатермия	noun	diathermy
диатрета	noun	cage cup
диатриба	noun	diatribe
диафанометр	noun	diaphanometer
диафаноскопия	noun	diaphanoscopy
диафрагма	noun	diaphragm|midriff
диафторез	noun	diaphthoresis|retrogressive metamorphis
диафторит	noun	diaphthorite
диахронический	adjective	diachronic
диацетат	noun	diacetate
диацетилморфин	noun	diacetylmorphine
дибит	noun	dibit
диван	noun	couch|sofa
диван-кровать	noun	futon|sofa-bed
дивергенция	noun	divergence|divergency
диверсант	noun	saboteur
диверсионный	adjective	diversionary|sabotage
диверсификация	noun	diversification
диверсифицировать	verb	diversify
диверсия	noun	sabotage
дивертор	noun	divertor
дивехи	noun	Dhivehi
дивиденд	noun	dividend
дивидюк	noun	DVD player
дивизион	noun	battalion
дивизия	noun	division
дивинация	noun	divination
диво	noun	marvel|miracle|wonder
дигамия	noun	digamy
дигамма	noun	digamma
дигетерозиготный	adjective	diheterozygous
дигитализация	noun	digitization|digitizing
дигитальный	adjective	digital
диглиф	noun	diglyph
диглоссия	noun	diglossia|diglossy
диграф	noun	digraph
дигук	noun	gri-gug
дид	noun	grand-dad|grandfather|grandpa|old man
дидактизм	noun	didacticism
дидактик	noun	specialist in didactics
дидактика	noun	didactics
дидактический	adjective	didactic
диез	noun	sharp
диенофил	noun	dienophile
диета	noun	diet|ration
диетический	adjective	dietetic|dietary
диетолог	noun	dietician
диетология	noun	dietetics|dietology
диетсестра	noun	dietary nurse|dietitian nurse|nurse-dietitian
дизайн	noun	design
дизамбигуация	noun	disambiguation
дизартрия	noun	dysarthria
дизассемблер	noun	disassembler
дизассемблировать	verb	disassemble
дизелестроительный	adjective	Diesel building
дизентерия	noun	dysentery
дизурия	noun	dysuria
дизъюнктивный	adjective	disjunctive
дизъюнктный	adjective	disjoint|disjunct|disjunctive
дикарь	noun	savage|barbarian|tribesman
дикетон	noun	diketone
дикий	adjective	savage|wild|outrageous|tameless|uncivilized|bizarre
дикирий	noun	dikirion|double candlestick
дикобраз	noun	porcupine
диковина	noun	rarity|wonder
дикорос	noun	wild plant
дикость	noun	savagery|wildness
диксионер	noun	dictionary
диктант	noun	dictation
диктат	noun	diktat
диктатор	noun	dictator
диктатура	noun	dictatorship
диктовать	verb	dictate
диктор	noun	announcer|newsreader|speaker
дилатация	noun	dilation
дилатометр	noun	dilatometer
дилатометрический	adjective	dilatometric
дилатометрия	noun	dilatometry
дилдо	noun	dildo|dildoe
дилемма	noun	dilemma
дилетант	noun	dilettante|amateur|dabbler
дилетантизм	noun	dilettantism
дилижанец	noun	stagecoach|coach|stage-coach|mailcoach
дилижанс	noun	stage-coach|stagecoach|coach|mailcoach
дилогия	noun	dilogy
дилювиальный	adjective	diluvial
дилювий	noun	diluvium
диметилбензол	noun	dimethylbenzene
диминутив	noun	diminutive
диммер	noun	dimmer
диморфизм	noun	dimorphism
диморфный	adjective	dimorphous
динамизм	noun	dynamism
динамик	noun	loudspeaker|speaker
динамика	noun	dynamics
динамит	noun	dynamite|TNT
динамить	verb	cock tease|cock-tease|cocktease
динамически	adverb	dynamically
динамичность	noun	dynamics
динамичный	adjective	dynamic
динамо	noun	rapo
динамо-машина	noun	dynamo
динамограмма	noun	dynamogram
динамограф	noun	dynamograph
динамометр	noun	dynamometer
динар	noun	dinar
динарий	noun	denarius
династический	adjective	dynastic|dynastical
династия	noun	dynasty
динго	noun	dingo
динозавр	noun	dinosaur
диноцерат	noun	dinoceras
динуклон	noun	dinucleon
диод	noun	diode
диоктаэдр	noun	dioctahedron
диол	noun	diol
дионин	noun	codethyline|dionin|dionine|ethylmorphine|ethylmorphine hydrochloride
диоптр	noun	dioptre
диоптрика	noun	dioptrics
диоптрия	noun	dioptre
диорит	noun	diorite|greenstone
дипвеб	noun	deep web
дипингит	noun	dypingite
диплограмма	noun	diplogram
диплодок	noun	diplodocus
дипломант	noun	diplomate|graduand
дипломат	noun	briefcase
дипломатически	adverb	diplomatically
дипломатический	adjective	diplomatic
дипломатичный	adjective	diplomatic
дипломатия	noun	diplomacy
диплот	noun	deep sea lead
диплохромосома	noun	diplochromosome
диплоциста	noun	diplocyst
диполь	noun	dipole
дипропиламин	noun	dipropylamine
дипсомания	noun	dipsomania
дира	noun	hole
диравый	adjective	hole-ridden
директива	noun	directive|instruction
директивный	adjective	directive|directory
директор	noun	director|manager
директорий	noun	directory
директория	noun	the Directory|directory
директриса	noun	headmistress|directrix|woman director|woman manager
дирекция	noun	direction|board|directorate|director's office|manager's office
дирижабль	noun	airship|dirigible
дирижёр	noun	conductor|bandmaster
дирка	noun	hole
дирндль	noun	dirndl
дисбактериоз	noun	dysbacteriosis
дисбаланс	noun	disbalance|imbalance
дисбулия	noun	abulia
дисгармонировать	verb	disharmonize
дисгармония	noun	disharmony|discord|clash
диск	noun	disc брит.|disk амер.|discus|drum|musical disc|record
дискалькулия	noun	dyscalculia
дискальный	adjective	discal
дискантный	adjective	treble
дискать		like|переводится тж. личными формами гл. say
дискаунтер	noun	discounter
дисквалифай	noun	disqualification
дисквалификация	noun	disqualification
дисквалифицировать	verb	disqualify
дисквалифицироваться	verb	be disqualified
дискета	noun	floppy disk
дисковод	noun	drive|disk drive
дискография	noun	discography
дисконт	noun	discount
дисконтирование	noun	discounting
дискообразный	adjective	disk-shaped|disklike|pancake-shaped
дископатия	noun	discopathy|diskopathy
дискос	noun	paten
дискотека	noun	disco|discotheque
дискредитация	noun	defamation|discredit
дискредитировать	verb	discredit
дискретизировать	verb	discretize|quantize
дискретный	adjective	discrete
дискреционный	adjective	discretionary
дискриминант	noun	discriminant
дискриминационный	adjective	discriminatory|discriminating
дискриминация	noun	discrimination
дискуссионный	adjective	discussion|controversial|debatable|open to question
дискуссировать	verb	debate|dispute
дискуссия	noun	discussion
дискутант	noun	discussant|panellist
дискутировать	verb	discuss|debate
дислайк	noun	Dislike
дислексия	noun	dyslexia|legasthenia
дислокационный	adjective	dislocation
дислокация	noun	dislocation|displacement|distribution|stationing
дислоцированный		dislocated
дислоцировать	verb	deploy|station
дисморфия	noun	dysmorphia
дисморфомания	noun	dysmorphomania
дисморфофобия	noun	dysmorphophobia
диспансер	noun	dispensary|health center|prophylactic center|sanitarium
диспансеризация	noun	clinical examination|screening
диспареуния	noun	dyspareunia
диспепсический	adjective	dyspeptic
диспептический	adjective	dyspeptic
диспергировать	verb	disperse
дисперсия	noun	dispersion
дисперсный	adjective	dispersed|disperse
диспетчер	noun	dispatcher|manager
диспноэ	noun	dyspnea|dyspnoea
диспозиция	noun	disposition
диспутировать	verb	dispute
диссекция	noun	dissection
диссертация	noun	thesis|dissertation
диссидент	noun	dissident|dissenter|nonconformist
диссимиляция	noun	dissimilation
диссипация	noun	dissipation
диссомния	noun	dyssomnia
диссонанс	noun	dissonance|discord
диссоциированный		dissociated
дистальный	adjective	distal
дистанцирование	noun	distancing
дистанция	noun	distance|range|course|division
дистиллированный	adjective	distilled
дистиллировать	verb	distil
дистимический	adjective	dysthymic
дистимия	noun	dysthymia
дистих	noun	distich
дистония	noun	dystonia
дистопический	adjective	misplaced|dystopian
дисторсия	noun	distortion
дистрибуционный	adjective	distributive
дистрибьютор	noun	distributor
дистрофия	noun	dystrophy|dystrophia
дисфемизм	noun	dysphemism
дисфория	noun	dysphoria
дисфункция	noun	dysfunction
дисхолия	noun	dyscholia
дисциплина	noun	discipline
дисциплинированный	adjective	disciplined
дисциплинировать	verb	to discipline
дитиол	noun	dithiole
дитриглиф	noun	ditriglyph|ditriglyphe
дитятко	noun	baby|child|kid
диуретический	adjective	diuretic|urinative
дифенил	noun	biphenyl|diphenyl
дифениламин	noun	diphenylamine
дифирамб	noun	dithyramb|dithyrambs|eulogy
дифон	noun	diphone
дифракция	noun	diffraction
дифтерийный	adjective	diphtheria
дифтерит	noun	diphteria|diphteritis
дифтеритный	adjective	diphtheria
дифтерия	noun	diphtheria|diphteritis
дифтонг	noun	diphthong
дифтонгизация	noun	diphthongization
диффамация	noun	defamation|libel|denigration
дифферент	noun	rolling|swaying
дифференциал	noun	differential
дифференциация	noun	differentiation
дифференцированный	adjective	differentiated
дифференцировать	verb	differentiate
дифференцируемость	noun	differentiability
диффузия	noun	diffusion
диффундировать	verb	diffuse
дихлордифенилтрихлорэтан	noun	dichlorodiphenyltrichloroethane
дихлорэтан	noun	dichloroethane
дихлофос	noun	dichlorvos
дихотомия	noun	dichotomy
дихроизм	noun	dichroism
дихроматический	adjective	dichromatic
дичь	noun	game|wildlife|nonsense|wilderness
диэлектрик	noun	dielectric
диэтил	noun	diethyl
диэтиленгликоль	noun	diethylene glycol|diglycol
длань	noun	palm|hand|palm of the hand
длина	noun	length
длиннобазный	adjective	long wheelbase
длиннобородый	adjective	long-bearded
длинноволосый	adjective	long haired
длинномечный	adjective	long-sword|longsword
длинноносый	adjective	long-nosed|longnose
длиннорогий	adjective	longicorn
длинностолбиковый	adjective	long-styled|macrostylous
длиннохвостый	adjective	long-tailed
длинношеий	adjective	long-neck
длинный	adjective	long
длительный	adjective	lengthy|prolonged|long|protracted
длиться	verb	to last
для		for|to
дневалить	verb	be on duty
дневальный	noun	orderly
дневник	noun	diary|blog|book|journal|notebook|report
днесь	adverb	nowadays|today
днём	adverb	in the daytime|by day
до	noun	C|do|before|to|until|till
до-бемоль	noun	C flat|C-flat
до-диез	noun	C sharp|C-sharp
доарийский	adjective	pre-Aryan
добавить	verb	add
добавка	noun	additive
добавление	noun	addition|add-on|supplement|addendum
добиваться	verb	get|obtain|seek|achieve|press for|strive
добиться	verb	attain|get|achieve
доблестно	adverb	valiantly
доблестный	adjective	gallant|valiant|valorous
доблесть	noun	daring|prowess|valour
добро	adverb	kindly|the good всегда с опр. арт.|stuff|okay
добродетель	noun	virtue
добродетельный	adjective	virtuous
добродушие	noun	good-nature|goodnature|mansuetude
добродушный	adjective	good natured
доброжелательность	noun	benevolence|goodwill|amicability
доброкачественный	adjective	laudable
добропорядочный	adjective	honest|respectable|upstanding
добросердечно	adverb	kind-heartedly|kindheartedly
добросердечный	adjective	kind-hearted
добросовестно	adverb	b.f.|bona fide|conscientiously|religiously
добросовестность	noun	conscientiousness|fidelity|good faith|honesty
добросовестный	adjective	conscientious|honest
доброта	noun	goodness|kindness
добротный	adjective	high-Q|of good quality
доброхот	noun	volunteer|well-wisher
добрый	adjective	good|kind
добряк	noun	good soul|good-natured person
добывать	verb	extract|mine|quarry|obtain|procure
добыча	noun	extraction|mining|quarrying|booty|kill|loot
довезти	verb	bring|carry|take
доверие	noun	confidence|trust|faith
доверитель	noun	principal|settlor
доверительно	adverb	confidentially|in confidence
доверху	adverb	to the brim|up to the top
доверчиво	adverb	trustingly|trustfully
доверчивость	noun	credulity|gullibility|trustfulness
доверчивый	adjective	trustful|trusting
доверять	verb	trust|entrust
довесок	noun	makeweight
довод	noun	argument|reason
довоенный	adjective	prewar|antebellum
довоз	noun	additional delivery|delivery|replenishment
довольно	adverb	contentedly|quite|rather|pretty|fairly|enough
довольно-таки	adverb	to some extent|somewhat
довольный	adjective	satisfied|content|pleased
довольствоваться	verb	be content|be satisfied|content oneself|draw allowances|draw supplies
довыдать	verb	give out the rest
дог	noun	bandog|mastiff
догадаться	verb	guess
догадливость	noun	quick-wittedness
догадываться	verb	guess|imagine|understand
догаресса	noun	dogaressa|dogess
догма	noun	dogma
догмат	noun	tenet
догматизм	noun	dogmatism
догматически	adverb	dogmatically
догматический	adjective	dogmatic
догматично	adverb	dogmatically
догматичность	noun	dogmatism
догнать	verb	catch up|come up|overtake|grok
договариваться	verb	treat
договор	noun	agreement|contract|treaty|pact
договориться	verb	come to an agreement|go as far as to say
договороспособность	noun	negotiability
договорённость	noun	agreement|arrangement
догореть	verb	burn down|burn out
догреховный	adjective	prelapsarian
догри	noun	Dogri
догситтер	noun	dog sitter
додекагон	noun	dodecagon
додекан	noun	dodecane
додеканол	noun	dodecanol
додекафонически	adverb	dodecaphonically
додекафонический	adjective	dodecaphonic
додекафония	noun	dodecaphony
додекаэдр	noun	dodecahedron
додо	noun	dodo
додредноут	noun	pre-dreadnought
доехать	verb	arrive|reach
дож	noun	doge
дождаться	verb	get at last|live to see
дождевик	noun	raincoat|mackintosh|oilskin|puffball
дождливый	adjective	rainy|showery|wet
дождь	noun	rain|tinsel
доживать	verb	to live out
дожидаться	verb	wait for
доза	noun	dose
дозаправка	noun	refueling|refuelling|tanking up
дозатор	noun	dispenser|dosing unit|feeder|measuring hopper|metering device
дозволение	noun	permission
дозволять	verb	permit
дозвониться	verb	get through
дозиметр	noun	dosimeter|dosemeter
дозиметрист	noun	dosimetrician|dosimetrist
дозировать	verb	dose|measure out
дозировочный	adjective	dosing
дозор	noun	picket
доисторический	adjective	prehistoric
доить	verb	to milk|milk|drain|to
дойти	verb	reach|come|go|get
док	noun	dock
докадмиевый	adjective	sub-cadmium|subcadmium
доказательство	noun	evidence|proof|proving
доказать	verb	prove
доказывать	verb	demonstrate|prove|show|argue|evidence|substantiate
докатка	noun	compact spare tire|donut [spare] tire|space-saver [spare tire]
доклад	noun	lecture|report|paper|announcement
докладчик	noun	lecturer|speaker
доклёвывать	verb	peck clean
доковылять	verb	hobble
докозан	noun	docosane
доколе	adverb	how far
доколь	adverb	how far|how long
докритический	adjective	sub-critical|subcritical|undercritical|pre-critical|precritical
доксициклин	noun	doxycycline
доктор	noun	doctor
докторант	noun	doctoral candidate
докторский	adjective	doctor's|doctoral
доктрина	noun	doctrine|teaching
докуда		how far
документ	noun	document|paper
документалист	noun	documentarian|documentary film maker
документально	adverb	documentarily
документальный	adjective	documentary
документация	noun	documentation
докучать	verb	annoy
докучить	verb	bother|importune|pester|plague
докучливо	adverb	boringly
докучливый	adjective	pesky
долбануть	verb	bang|strike|drink|empty
долбить	verb	batter
долбоёб	noun	asshat|butthead|dickhead|douche|doucher|douchetard
долг	noun	debt|duty|arrearage|arrears|backlog|indebtedness
долган	noun	Dolgan
долганин	noun	Dolgan
долганский	adjective	Dolgan
долгий	adjective	long|prolonged
долго	adverb	for a long time|long
долговязость	noun	lankiness
долговязый	adjective	lanky
долгожданный	adjective	long hoped-for|long-expected
долгоносик	noun	weevil
долгополый	adjective	long-skirted
долгопят	noun	tarsier
долгопёр	noun	flying gurnard
долгосрочный	adjective	long-term
долгота	noun	longitude|duration|length|logintude
долготерпение	noun	long suffering|patience
доледниковый	adjective	preglacial
долее	adverb	longer
должен	adjective	must|ought|owes|should|bound to|be bound
должник	noun	debtor
должно		one ought to|one should
должностной	adjective	official|titular
должность	noun	appointment|position|post
должный	adjective	due|indebted|owing
долина	noun	vale|valley|dale
долихоколон	noun	dolichocolon
долихосигма	noun	dolichosigmoid
долларизация	noun	dollarization
доломит	noun	dolomite
доломитизация	noun	dolomitization
доломитовый	adjective	dolomite
долото	noun	chisel|boring bit|drill bit|horse cock
дольмен	noun	dolmen|cromlech
дольник	noun	metayer|sharecropper
дольчатый	adjective	lobate|lobed
дольше	adverb	longer
доля	noun	part|portion|пай share|lot|fate|fortune
дом	noun	house|home
дом-интернат	noun	nursing home
дом-музей	noun	historic house museum
дома	adverb	at home|home
домайданный	adjective	pre-Maidan
домашка	noun	homework|schoolwork
домашний	adjective	domestic|home-made|homespun|family|home|house
домбра	noun	dombra
домбрист	noun	dombra player
домен	noun	magnetic domain|domain
доменный	adjective	domain
доместикация	noun	domestication
домик	noun	cottage
доминантность	noun	dominance
доминантный	adjective	dominant
доминиканка	noun	Dominican
доминион	noun	dominion
домино	noun	domino
домицилировать	verb	domicile
домкрат	noun	jack
домовой	noun	domovoi|domovoy|house spirit|household deity
домогательство	noun	harassment
домогаться	verb	harass|solicit
домой	adverb	home
домонгольский	adjective	pre-Mongolian
домосед	noun	homebody|stay-at-home|couch potato
домостроение	noun	house-building
домотканина	noun	homespun
домотканый	adjective	homespun
домохозяин	noun	householder|houseowner|landlord
домохозяйство	noun	household
домра	noun	domra
домработница	noun	homemaker|housemaid
домушник	noun	burglar|cat burglar|second-story man
донага	adverb	completely|naked
донат	noun	donate
донесение	noun	report|message
донжон	noun	donjon|keep
донкихот	noun	don quixote|knight|knight-errant
донкихотский	adjective	quixotic
донкихотство	noun	knight-errantry|quixotics|quixotism|quixotry
донкихотствовать	verb	fight windmills|tilt at windmills
донкишот	noun	don quixote|knight|knight-errant
донкишотство	noun	knight-errantry|quixotics|quixotism|quixotry
донна	noun	donna
донник	noun	melilot|sweet clover
донор	noun	donor|blood donor
донорство	noun	donorship
донос	noun	denunciation|delation|whistle blow
доносчик	noun	snitch|informer|informant|squealer|denunciator|whistle-blower
доопытный	adjective	preexperimental
допеть	verb	finish
допивать	verb	drink up
дописать	verb	finish
допить	verb	drink up
допоздна	adverb	till late at night|till midnight
дополнение	noun	addition|addendum|complement|supplement|object
дополнительный	adjective	additional|supplementary|extra
дополнить	verb	add|supplement
дополнять	verb	add|supplement
допотопный	adjective	antediluvian|antiquated|old-fashioned
доппельгенгер	noun	doppelganger
допродажа	noun	upsell
допрос	noun	interrogation|examination
допрыгнуть	verb	jump
допускать	verb	accept
допустимый	adjective	acceptable|permissible|justifiable
допустить	verb	admit|allow|permit|tolerate
дорабатывать	verb	complete|finish off|work|finalize|improve|refine
дорастать	verb	grow|reach
дореволюционный	adjective	from the time before the revolution
дорзальный	adjective	dorsal
дориец	noun	Dorian
дорийский	adjective	Dorian
дорисовать	verb	complete|finish|finish drawing
дормез	noun	dormeuse
дорога	noun	please.|the way . The chair stood right in the way. Get out of the way|travel|road|way|country road
дорого	adverb	at a high price|expensively|too much
дороговизна	noun	dearness|high cost of living|high prices
дорогой	adjective	expensive|dear|precious|darling|costly|valuable|on the way
дородный	adjective	burly|portly
дороже	adjective	dearer|more expensive
дорожка	noun	path|road|walkway|alley|pathway|walk
дорожный	adjective	road|travelling
дорсальный	adjective	dorsal
