lemma	part_of_speech	translations
горбушка	noun	Gorbushka
горгона	noun	Gorgon
гордеев	noun	Gordeyev
горелов	noun	Gorelov
горем	noun	Gorham
гори	noun	Gori
горно-алтайск	noun	Gorno-Altaisk|Gorno-Altaysk
господь	noun	God|the Lord
гоша	noun	Gosha
гоща	noun	Hoshcha
грааль	noun	Grail
грачёв	noun	Grachev
грейзер	noun	Greiser
греков	noun	Grekov
гретта	noun	Grette
греция	noun	Greece
грибов	noun	Gribov
григорий	noun	Gregory
григоркин	noun	Grigorkin
гридасов	noun	Gridasov
гридин	noun	Gridin
гринвич	noun	Greenwich
грицков	noun	Gritskov
гродно	noun	Grodno
грозев	noun	Grozev
грозный	noun	Grozny|formidable|menacing
гротов	noun	Grotov
грудев	noun	Grudev
грузия	noun	Georgia
гуанахуато	noun	Guanajuato
гугл	noun	Google
гуджарат	noun	Gujarat
гуков	noun	Gukov
гундарёв	noun	Gundaryov
гурия	noun	Guria
гурулёв	noun	Gurulyov
гурылёв	noun	Gurylyov
гусаров	noun	Gusarov
гусь-хрустальный	noun	Gus-Khrustalny
гэри	noun	Gary
гюмри	noun	Gyumri
днк-полимераза	noun	DNA polymerase
дуп	noun	subsidiary unitary enterprise|personnel management department|additional bonus conditions|remote position indicator|angle sensor|angular position sensor
давид	noun	David
давлеканово	noun	Davlekanovo
давос	noun	Davos
давыдов	noun	Davyd’s|Davydov
дагестан	noun	Dagestan
дагомея	noun	Dahomey
дакар	noun	Dakar
дакка	noun	Dhaka
дакота	noun	Dakota
даллас	noun	Dallas
далмация	noun	Dalmatia
даль	noun	Dahl|distance
дамаск	noun	Damascus
дамокл	noun	Damocles
даниил	noun	Daniel
данст	noun	Dunst
даньшин	noun	Danshin
дарвин	noun	Darwin
дарий	noun	Dary|Darius
дарфур	noun	Darfur
даугава	noun	Daugava
даун	noun	Down
дашкин	noun	Dashkin
дева	noun	Virgo|Virgin
девин	noun	Devin
девицын	noun	Devitsyn
девкин	noun	Devkin
девочкин	noun	Devochkin
девушкин	noun	Devushkin
девяшин	noun	Devyashin
дега	noun	Degas
дедал	noun	Daedalus
делавэр	noun	Delaware
деметра	noun	Demeter
демид	noun	Demid
демитров	noun	Demitrov
