lemma	part_of_speech	translations
basque country	noun	巴斯克地区
basra	noun	巴士拉
bass strait	noun	巴斯海峡
basseterre	noun	巴斯特尔
bastia	noun	巴斯蒂亚
bath	noun	巴斯|浴缸|浴室|沐浴|洗澡
batman	noun	蝙蝠俠
baton rouge	noun	巴吞鲁日
bautzen	noun	包岑
bavaria	noun	巴伐利亚
bavarian	noun	巴伐利亚语
bay of bengal	noun	孟加拉湾
bay of biscay	noun	比斯开湾
bayonne	noun	巴约讷
beast	noun	动物|兽
beelzebub	noun	巴力西卜
beetle	noun	甲壳虫|甲蟲
beijing	noun	北京|北京市
beirut	noun	贝鲁特
belarus	noun	白俄罗斯
belarusian	noun	白俄罗斯人
belfast	noun	贝尔法斯特
belgian	adjective	比利时|比利时人
belgian congo	noun	比屬剛果
belgium	noun	比利时|比利時
belgorod	noun	别尔哥罗德
belgrade	noun	贝尔格莱德
belize	noun	伯利兹|貝里斯
belluno	noun	贝卢诺
belmopan	noun	贝尔莫潘
benelux	noun	比荷卢经济联盟
benevento	noun	贝内文托
bengal	noun	孟加拉
bengal tiger	noun	孟加拉虎
bengalese	adjective	孟加拉的
bengali	noun	孟加拉语
bengaluru	noun	班加羅爾
benghazi	noun	班加西
benin	noun	贝宁
beppu	noun	別府
berber	noun	柏柏尔
bergamo	noun	贝加莫
bering sea	noun	白令海
bering strait	noun	白令海峡
berlin	noun	柏林
berlin wall	noun	柏林圍牆
berliner	noun	柏林人|夢
bermuda	noun	百慕大|百慕大群岛
bermuda triangle	noun	百慕大三角
bern	noun	伯尔尼
bernstein	noun	琥珀
betelgeuse	noun	参宿四
bethlehem	noun	伯利恆
bewick's swan	noun	小天鹅
bezeklik	noun	柏孜克里克
bhopal	noun	博帕尔
bhubaneswar	noun	布巴内斯瓦尔
bhutan	noun	不丹
bianca	noun	天卫八
białystok	noun	比亚韦斯托克
bible	noun	聖經|圣经
bicol peninsula	noun	比科尔半岛
big dipper	noun	北斗七星
bihar	noun	比哈尔邦
bilbao	noun	毕尔巴鄂
birmingham	noun	伯明翰
birobidzhan	noun	比罗比詹
biscay	noun	比斯開省
bishkek	noun	比什凯克
bissau	noun	比绍
bithynia	noun	比提尼亞
bizerte	noun	比塞大
black forest	noun	黑森林
black maria	noun	母狗
black sea	noun	黑海
blackbeard	noun	黑胡子
blagoevgrad	noun	布拉戈耶夫格勒
blahodativka	noun	布拉霍達蒂夫卡
bloemfontein	noun	布隆方丹
blue house	noun	青瓦臺
bluetooth	noun	蓝牙
bochum	noun	波鴻
boeotia	noun	維奧蒂亞州
bogotá	noun	波哥大
bohemia	noun	波希米亚
bohemian	adjective	波希米亚
bohemian waxwing	noun	太平鳥
boholiubove	noun	博霍柳博韋
boikivske	noun	博伊基夫斯凱|博伊基夫斯凱鎮級市鎮|博伊基夫斯凱區
bokmål	noun	书面挪威语
bolivia	noun	玻利维亚|玻利維亞
bollywood	noun	宝莱坞
bologna	noun	博洛尼亚
bolshevik	noun	布爾什維克
bolzano	noun	波尔查诺
bombay	noun	孟买
bonaire	noun	博奈尔
bonn	noun	波恩
bordeaux	noun	波尔多
borduria	noun	博爾多利亞
borneo	noun	婆罗洲
borobudur	noun	婆罗浮屠|波罗浮屠
bose-einstein condensate	noun	玻色-爱因斯坦凝聚
bosnia	noun	波斯尼亚
bosnia and herzegovina	noun	波斯尼亚和黑塞哥维那|波斯尼亚和黑山共和国|波斯尼亞和黒塞哥維那
bosnian	noun	波斯尼亚人|波斯尼亚语
bosphorus	noun	博斯普鲁斯海峡
boston	noun	波士顿
boten	noun	磨丁
botswana	noun	博茨瓦纳|博茨瓦納
bouches-du-rhône	noun	罗讷河口省
bourges	noun	布尔日
bournemouth	noun	伯恩茅斯
boxing day	noun	圣艾蒂安
boötes	noun	牧夫座
bradford	noun	布拉德福德
bragança	noun	布拉干萨
brahma	noun	梵天
brahmaputra	noun	布拉马普特拉河
brandenburg	noun	勃兰登堡
brasília	noun	巴西利亚
bratislava	noun	布拉迪斯拉发
brazil	noun	巴西
brazilian	noun	巴西人
brazilian portuguese	noun	巴西葡萄牙語
brazzaville	noun	布拉柴维尔
brechtian	adjective	贝尔托·布莱希特时
bregenz	noun	布雷根茨
bremen	noun	不来梅
brescia	noun	布雷西亚
brest	noun	布雷斯特|布列斯特
breton	adjective	布列塔尼語|布列塔尼语
bridgetown	noun	布里奇敦
brindisi	noun	布林迪西
brisbane	noun	布里斯班
bristol	noun	布里斯托尔
britain	noun	不列顛
british	adjective	英式|英語
british columbia	noun	不列颠哥伦比亚
british empire	noun	大英帝国
british english	noun	英國英語
british isles	noun	不列颠诸岛
british virgin islands	noun	英屬維爾京群島
brittany	noun	布列塔尼
brno	noun	布爾諾
bronx	noun	布朗克斯
bronze age	noun	青铜时代
brooklyn	noun	布鲁克林
bruges	noun	布鲁日
brumaire	noun	雾月
brunei	noun	文莱
bruno	noun	布鲁诺
brunswick	noun	不伦瑞克
brussels	noun	布鲁塞尔
brussels sprout	noun	抱子甘藍
bryansk	noun	布良斯克
bucharest	noun	布加勒斯特
buckingham palace	noun	白金漢宮
budapest	noun	布达佩斯
buddha	noun	佛陀
buddha's hand	noun	佛手
buddhism	noun	佛教
buddhist	adjective	佛教徒
buenos aires	noun	布宜诺斯艾利斯
buffalo	noun	水牛城|水牛|在
bujumbura	noun	布松布拉
bukhara	noun	布哈拉
bukharin	noun	布哈林
bulgaria	noun	保加利亚
bulgarian	adjective	保加利亚的|保加利亚语|保加利亚人|保加利亞語
bulhakivka	noun	布爾哈基夫卡
bumfuck	noun	角落|孔
burgenland	noun	布尔根兰州
burgundy	noun	勃艮第|葡萄酒
burkina faso	noun	布基纳法索|布基納法索
burma	noun	缅甸
burmese	adjective	缅甸 緬甸|緬甸人
bursa	noun	布爾薩
burundi	noun	布隆迪|蒲隆地
buryatia	noun	布里亚特共和国
busan	noun	釜山
bushism	noun	布什主义
buzen	noun	豐前
bydgoszcz	noun	比得哥什
byzantine empire	noun	拜占庭帝國
byzantium	noun	拜占庭
c major	noun	C大調|C大调
c minor	noun	C小调
c++	noun	C++
c-pop	noun	中文流行音乐
captcha	noun	验证码
cctv	noun	摄像监控
cd	noun	CD
cd burner	noun	光盘刻录器
cjk	noun	中日韓
covid-19	noun	新冠肺炎
cpsu	noun	苏共
cabinda	noun	卡賓達
cadix	noun	加的斯
cadiz	noun	加的斯
caelum	noun	雕具座
caelus	noun	天王星
caesar	noun	凯撒
caesarean section	noun	剖宫产
cagliari	noun	卡利亚里
cain	noun	該隱
cairo	noun	开罗|開羅
calabria	noun	卡拉布里亚
calais	noun	加來
calcutta	noun	加尔各答
caledonian	adjective	蘇格蘭語
calgary	noun	卡爾加里
california	noun	加利福尼亚
californian	noun	加州人
callisto	noun	卡里斯托
caltanissetta	noun	卡爾塔尼塞塔
calvados	noun	卡尔瓦多斯省
calvary	noun	各各他
calvinism	noun	加尔文主义
calypso	noun	土星十四
camagüey	noun	卡馬圭
cambodia	noun	柬埔寨
cambodian	noun	柬埔寨人
cambrian	noun	寒武纪
cambridge	noun	剑桥
camelopardalis	noun	鹿豹座
cameroon	noun	喀麦隆|喀麥隆
camilla	noun	卡米耶
campania	noun	坎帕尼亚
campeche	noun	坎佩切
canaan	noun	迦南
canada	noun	加拿大
