lemma	part_of_speech	translations
一根藤上的苦瓜	noun	в|горькие|знач.|обр.|одного|поля
一桌	noun	банкет|пирушка|стол|трапеза
一條根	noun	единственном|корень|о|обр.|один|сыне
一條藤	noun	в|заодно|знач.|лианой|мазаны|миром
一椽	noun	дом|комната
一榜	noun	кандидат|стар.|цзюйжэнь|舉人
一槽兒爛	noun	ветхий|легко|о|обычно|платье|по
一模活脫兒	noun	воды|две|как|капли|одинаковый|похожий
一機靈	noun	в|до|душа|испугаться|полусмерти|пятки
一橫	noun	III|Цинь|в.|во|главе|горизонтали
一次卹金	noun	единовременное|пособие
一歇	noun	времени|короткий|минутка|минутку|на|одну
一步一蹶	noun	в|время|всё|знач.|каждом|на
一步三搖	noun	вразвалку|гордеце|и|каждом|медленно|на
一死兒	noun	бы|во|голову|крепко-накрепко|намертво|неуклонно
一段兒	noun	абзац|отрезок|отрывок
一段式	noun	муз.|одночастная|форма
一毫一絲	noun	малость|не|нисколько|ничуть|отрицанием|перед
一氣兒	noun	без|духом|одним|передышки
一氧化	noun	высоковалентных|для|закись|низковалентных|одноокись|окись
一氧化二氮	noun	за́кись азо́та
一氧化物	noun	моноокси́д|одноо́кись
一氧化碳	noun	моноокси́д углеро́да|о́кись углеро́да|окси́д углеро́да|уга́рный газ
一氮化	noun	азотистый|хим.
一氯化	noun	полухлористый|хим.|хлористый
一水	noun	о|первоклассный|товаре
一水兒	noun	см.|一水
一水化合物	noun	гидрат|моногидрат|одноводный|хим.
一水合三氯乙醛	noun	хим.|хлоралгидрат
一水合物	noun	гидрат|моногидрат|одноводный|хим.
一水四見	noun	в|видят|воде|же|знач.|и
一汪兒	noun	воды|лужа|напр.|слез
一汪子	noun	воды|лужа|напр.|слез
一浪	noun	вал|волна|один|одна
一淘	noun	вместе|вост.|диал.|совместно
一清早兒	noun	раннего|с|спозаранку|утра
一溜	noun	полоса|пояс
一溜一串	noun	гуськом|за|один|одним|цепочкой
一溜一串地	noun	гуськом|за|один|одним|цепочкой
一溜歪斜	noun	ковыляя|нетвёрдой|походкой|пошатываясь
一溜煙兒	noun	быстро|в|дыма|знач.|как|мгновенно
一溜邊光	noun	быстротой|мгновенно|молниеносной|с|стремглав
一溜鞭光	noun	быстротой|мгновенно|молниеносной|с|стремглав
一溴代	noun	монобром-однобромистый|хим.
一滴滴	noun	за|капле|каплей|капля|по|понемногу
一滴滴兒	noun	за|капле|каплей|капля|по|понемногу
一激靈	noun	быстро|смекнуть|сообразить|сразу
一灣子	noun	диал.|местность|район
一火兒	noun	банда|всей|группа|группой|компанией|компания
一炬	noun	огню|предавать|уничтожать
一無所能	noun	беспомощный|быть|годным|на|не|ни
一無所阻	noun	безо|беспрепятственно|всяких|помех
一燻一蕕	noun	а|ароматны|в|добро|добрый|другие
一狠二狠	noun	бед|грех|греха|грехов|два|один
一狠百狠	noun	бед|грех|греха|грехов|два|один
一环	noun	в|деле|звено|одно|работе
一理貫通	noun	единым|последовательный|принципом|пронизанный
一生一及	noun	см.|一繼一及
一生一死	noun	жизнь|и|на|равны|смерть|шансы
一生九死	noun	десяти|жизнь|из|на|один|опасный
一甲基	noun	монометил|хим.
一病兩痛	noun	болезни|заболевание|недуги
一瘸一瘸	noun	ковыляя|прихрамывать|прихрамывая
一瘸一點	noun	ковыляя|прихрамывать|прихрамывая
一百五	noun	без|пятьдесят|слова|сто|счётного
一百六	noun	без|слова|сто|счётного|шестьдесят
一百天	noun	большого|день|дня|конец|смерти|со
一皿子	noun	вм.|дело|забота|одна|одно|一件
一皿子事	noun	вм.|дело|забота|одна|одно|一件
一皿子心	noun	вм.|дело|забота|одна|одно|一件
一盤棋	noun	в|всей|вся|знач.|идеологическом|интересов
一目之下	noun	в|взгляда|момент|один|первого|с
一目國	noun	миф.|одноглазых|страна
一眨巴眼兒	noun	в|мгновенно|миг|моментально|один
一眨眼兒	noun	в|мгновенно|миг|моментально|один
